"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
6584, 2.209169966091522e+00, 2.321931198579499e-01, 2.578457842709397e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551266449585846e+03, 1.000000000000000e-10, 3.382350129426772e+14, 2.220506579834337e+03, 3.000007735547911e+02, 0.000000000000000e+00, 3.006775102011117e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919911451285e-05, 1.972942607728660e-03, 2.073646240086071e-04, 8.568864687201906e+04, 3.672950211377293e-03, 7.623273997648649e-27
6585, 2.208516737684421e+00, 2.321244627857676e-01, 2.578463685473536e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551279030298451e+03, 1.000000000000000e-10, 3.382079967782756e+14, 2.220511612119379e+03, 3.000007736406504e+02, 0.000000000000000e+00, 3.006784591851957e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919911857548e-05, 1.973052580267761e-03, 2.073761825880619e-04, 8.569343003660487e+04, 3.673199391108300e-03, 7.623900222621238e-27
6586, 2.207863509277319e+00, 2.320558057135854e-01, 2.578469529376344e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551291613465524e+03, 1.000000000000000e-10, 3.381809859324186e+14, 2.220516645386208e+03, 3.000007737266704e+02, 0.000000000000000e+00, 3.006794083544241e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919912264571e-05, 1.973162576571430e-03, 2.073877436653838e-04, 8.569821429525700e+04, 3.673448587037492e-03, 7.624526431104901e-27
6587, 2.207210280870217e+00, 2.319871486414031e-01, 2.578475374384150e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551304199011971e+03, 1.000000000000000e-10, 3.381539749394574e+14, 2.220521679604787e+03, 3.000007738127104e+02, 0.000000000000000e+00, 3.006803577031328e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919912671689e-05, 1.973272607766103e-03, 2.073993084099554e-04, 8.570300013138482e+04, 3.673697839217358e-03, 7.625152746213399e-27
6588, 2.206557052463115e+00, 2.319184915692209e-01, 2.578481220485804e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551316786925003e+03, 1.000000000000000e-10, 3.381269683568867e+14, 2.220526714770000e+03, 3.000007738993766e+02, 0.000000000000000e+00, 3.006813072303568e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919913081769e-05, 1.973382666023712e-03, 2.074108759987312e-04, 8.570778720499274e+04, 3.673947115588093e-03, 7.625779065154909e-27
6589, 2.205903824056013e+00, 2.318498344970386e-01, 2.578487067664209e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551329377139308e+03, 1.000000000000000e-10, 3.380999684680211e+14, 2.220531750855722e+03, 3.000007739851289e+02, 0.000000000000000e+00, 3.006822569311698e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919913487526e-05, 1.973492762405838e-03, 2.074224475950620e-04, 8.571257599522499e+04, 3.674196414053398e-03, 7.626405336351309e-27
6590, 2.205250595648912e+00, 2.317811774248564e-01, 2.578492915872707e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551341969580384e+03, 1.000000000000000e-10, 3.380729643392116e+14, 2.220536787832153e+03, 3.000007740713693e+02, 0.000000000000000e+00, 3.006832067999519e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919913895593e-05, 1.973602891584080e-03, 2.074340226382893e-04, 8.571736626961571e+04, 3.674445789061216e-03, 7.627031806282459e-27
6591, 2.204597367241810e+00, 2.317125203526741e-01, 2.578498765106553e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551354564226323e+03, 1.000000000000000e-10, 3.380459650854474e+14, 2.220541825690528e+03, 3.000007741574661e+02, 0.000000000000000e+00, 3.006841568350503e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919914302979e-05, 1.973713050698620e-03, 2.074456008274718e-04, 8.572215790378294e+04, 3.674695188413499e-03, 7.627658269335183e-27
6592, 2.203944138834708e+00, 2.316438632804919e-01, 2.578504615358440e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551367161064361e+03, 1.000000000000000e-10, 3.380189697951961e+14, 2.220546864425743e+03, 3.000007742435796e+02, 0.000000000000000e+00, 3.006851070355023e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919914710445e-05, 1.973823247118636e-03, 2.074571829379267e-04, 8.572695121679397e+04, 3.674944623919115e-03, 7.628284746030230e-27
6593, 2.203290910427606e+00, 2.315752062083096e-01, 2.578510466615727e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551379760067046e+03, 1.000000000000000e-10, 3.379919848451608e+14, 2.220551904026817e+03, 3.000007743296972e+02, 0.000000000000000e+00, 3.006860573992375e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919915117930e-05, 1.973933469273196e-03, 2.074687677534999e-04, 8.573174570717772e+04, 3.675194050119675e-03, 7.628911092381055e-27
